#number,time,diff_x,diff_y,pe1_stats1_total,diff_x_user_setpoint,diff_y_user_setpoint,pe1_image
066,1479173517.7341292,1.4000000000000001,24.44,20486190258.67781,1.4000000000000004,24.44,4d714c35-1830-4265-9b24-9ea55324117e
067,1479173589.11755,1.4000000000000001,23.44,20486512404.87654,1.4000000000000004,23.44,8345a612-6c25-4b10-b092-ef4adf33fd99
068,1479173660.5653002,1.4000000000000001,22.44,20486294039.716797,1.4000000000000004,22.44,3663da5c-93e2-4000-94a0-c5fadd96759b
069,1479173731.8913834,1.4000000000000001,21.44,20485108135.530243,1.4000000000000004,21.44,f373aea3-7bc1-48c9-9964-b64ee00ae6fa
070,1479173803.3775454,1.4000000000000001,20.44,20485721963.704132,1.4000000000000004,20.44,be5574eb-b65d-4d6b-b069-8cc1058c2e2e
071,1479173875.0259686,1.4000000000000001,19.44,20487644538.526993,1.4000000000000004,19.44,03ceb56d-bae1-4d29-ba5a-1e44bd11f321
072,1479173946.9557562,1.4000000000000001,18.44,20485227939.615387,1.4000000000000004,18.44,221bd649-932e-4c5a-ab9d-f24f1c0de277
073,1479174010.1149995,0.4,18.44,20485345647.5186,0.40000000000000036,18.44,7f012669-c35f-42f2-b766-f6d930570022
074,1479174081.5770295,0.4,19.44,20485857788.29962,0.40000000000000036,19.44,a991383e-d3e9-4d6d-8151-25b6f3ea157e
075,1479174152.9580967,0.4,20.44,20487093993.561035,0.40000000000000036,20.44,5de8d855-1b37-4668-896a-4cfe4ed5baf5
076,1479174224.3392045,0.4,21.44,20485915713.82422,0.40000000000000036,21.44,71e26303-1d4a-4bf4-9447-d8c7d8a36037
077,1479174295.4390988,0.4,22.44,20487237771.40442,0.40000000000000036,22.44,57f56235-653d-4914-967c-eb8d921eb8b3
078,1479174366.9010763,0.4,23.44,20487005771.1882,0.40000000000000036,23.44,3769e291-efe6-4b12-b7f3-60721d21eb7f
079,1479174437.9860244,0.4,24.44,20485696129.860886,0.40000000000000036,24.44,c433e463-b02d-44c6-8572-7347fc954198
080,1479174509.4795902,0.4,25.44,20486250067.397583,0.40000000000000036,25.44,1c1609c4-cfa3-4ca8-963c-bbf669033fc7
081,1479174572.5475814,-0.6,25.44,20487110677.107986,-0.5999999999999996,25.44,e1d10724-105e-49da-a913-2ea2bfc6b1c2
082,1479174644.2149727,-0.6,24.44,20485972939.717056,-0.5999999999999996,24.44,dc8ba0d9-fcad-496e-8478-916970ba0670
083,1479174715.5985458,-0.6,23.44,20487483264.154037,-0.5999999999999996,23.44,68e320eb-1205-4103-877c-ac4d91d28266
084,1479174786.9808633,-0.6,22.44,20486507996.47499,-0.5999999999999996,22.44,415c63b5-b5cc-4eb6-9043-c77dff2cab1c
085,1479174858.3706067,-0.6,21.44,20485651843.915604,-0.5999999999999996,21.44,e74a91ad-b9e6-47dc-ae1d-4eeabddbdb6c
086,1479174929.7222548,-0.6,20.44,20487550984.827484,-0.5999999999999996,20.44,1106f139-92d5-4d7e-9fd0-d760949c56f5
087,1479175001.1412745,-0.6,19.44,20486667416.363144,-0.5999999999999996,19.44,70b336b4-e531-4856-a9a0-cf8213cac334
088,1479175072.4295723,-0.6,18.44,20486513569.065643,-0.5999999999999996,18.44,bb5f3d6c-3fc3-435b-9dcf-07cdd79eedeb
089,1479175135.840195,-1.6,18.44,20487440434.197723,-1.5999999999999996,18.44,5004fecc-0be9-4bca-ad54-929ac3c5ef6e
090,1479175207.5367286,-1.6,19.44,20487974860.31575,-1.5999999999999996,19.44,d0aaa5a7-606b-4ddb-9566-fcfc535e7e29
091,1479175279.317488,-1.6,20.44,20487132370.581802,-1.5999999999999996,20.44,aae0330d-c214-4c76-b774-87ba0441739a
092,1479175350.7809677,-1.6,21.44,20487168913.793854,-1.5999999999999996,21.44,1998d2f0-bef1-4ebc-bd69-5265cc956718
093,1479175422.1602457,-1.6,22.44,20487834741.172974,-1.5999999999999996,22.44,a5a01606-723c-44a1-9c3e-f972bdc0f016
094,1479175493.5276842,-1.6,23.44,20487851512.668472,-1.5999999999999996,23.44,533a8dc8-80d2-44a8-92da-4d4a1b925897
095,1479175564.6725705,-1.6,24.44,20486421628.655457,-1.5999999999999996,24.44,d7e45f1f-45b9-4415-8857-10db967f54b2
096,1479175636.126482,-1.6,25.44,20486408026.243958,-1.5999999999999996,25.44,6419fb91-78a6-465f-bb7a-d8c7ba515127
097,1479175699.1820858,-2.6,25.44,20485735249.968903,-2.5999999999999996,25.44,d2ceabb2-fd2c-4c4d-9269-34c336255ca0
098,1479175770.1387134,-2.6,24.44,20487671406.81279,-2.5999999999999996,24.44,2a05cda5-221a-4c37-8d7d-a13cebff8a51
099,1479175841.339342,-2.6,23.44,20489083213.074936,-2.5999999999999996,23.44,4ef693f1-4df6-4e8a-998d-2bf07bb8fa77
100,1479175913.1255496,-2.6,22.44,20489784312.249832,-2.5999999999999996,22.44,526d46fc-47d1-49e9-80c0-cae4da5e4d63
101,1479175984.5955257,-2.6,21.44,20487454757.513107,-2.5999999999999996,21.44,5b9e582e-7e40-46aa-9517-fcfc3d2889f3
102,1479176056.0247307,-2.6,20.44,20487183361.780975,-2.5999999999999996,20.44,f6c3b3bd-a5a6-4e29-8123-ef730b75eb23
103,1479176127.3802073,-2.6,19.44,20486979986.18509,-2.5999999999999996,19.44,bce159ca-c30c-48f4-818d-5c77407b385c
104,1479176198.7184951,-2.6,18.44,20488002934.643402,-2.5999999999999996,18.44,922761f0-b849-44ac-b5a9-48bd78851f3e
105,1479176261.810538,-3.6,18.44,20486984150.510406,-3.5999999999999996,18.44,2bd2bd00-1800-4849-a703-97a5b18129c6
106,1479176333.4061017,-3.6,19.44,20486503916.42656,-3.5999999999999996,19.44,3acab7b5-bf2e-4b00-b6b5-544f2459bc5e
107,1479176404.8362138,-3.6,20.44,20487693588.850998,-3.5999999999999996,20.44,c3777c45-53c1-420a-88ee-fa4fa10c059a
108,1479176476.2626407,-3.6,21.44,20489355321.404327,-3.5999999999999996,21.44,f5503c9d-18cc-4475-80dc-a26453be73ad
109,1479176547.611067,-3.6,22.44,20490417943.782013,-3.5999999999999996,22.44,a216f1c1-e80a-4837-abd8-621e60f1837d
110,1479176618.9340875,-3.6,23.44,20487429047.453995,-3.5999999999999996,23.44,532fcdda-6dba-4674-bd32-2b207d0d4c83
111,1479176690.7465153,-3.6,24.44,20486681592.53186,-3.5999999999999996,24.44,c348c386-06ac-4320-a245-77e036f0244e
112,1479176762.135392,-3.6,25.44,20487134269.426483,-3.5999999999999996,25.44,0322e4dd-5095-499f-afd4-c4e0306d8b5d
113,1479176825.23181,-4.6000000000000005,25.44,20486324323.146927,-4.6,25.44,7b1fc154-568a-40b9-9f08-fee053bb782e
114,1479176896.7746992,-4.6000000000000005,24.44,20488811798.557495,-4.6,24.44,2296b3e5-598d-4624-8520-879696794055
115,1479176968.3172204,-4.6000000000000005,23.44,20490411362.8452,-4.6,23.44,10ca8cdd-9679-4090-98fd-e40e54d68013
116,1479177039.6448007,-4.6000000000000005,22.44,20487773805.627747,-4.6,22.44,90353c78-13d6-4c37-9a49-e3f808eda43a
117,1479177111.0367842,-4.6000000000000005,21.44,20490262866.00093,-4.6,21.44,ac6e68af-68d5-4379-bb29-1e8f893b7b8c
118,1479177182.065015,-4.6000000000000005,20.44,20486350301.127304,-4.6,20.44,ebea8651-ec82-4f11-92fd-64bd12edfafc
