#number,time,diff_x,diff_y,pe1_stats1_total,diff_x_user_setpoint,diff_y_user_setpoint,pe1_image
82,2017-01-21 06:49:42.175347000,5.585,33.861000000000004,20900141346.79059,5.584615384615384,33.86153846153846,b9b4add8-6b95-4365-9962-293c836da1bd
83,2017-01-21 06:50:47.590199000,4.992,33.861000000000004,20818467946.21338,4.992307692307692,33.86153846153846,a3e190de-219c-4bd2-b9fa-8e01e402cd96
84,2017-01-21 06:51:52.790609000,4.4,33.861000000000004,20766191859.34851,4.4,33.86153846153846,42cfadb2-aa29-4634-b8f0-a055c84da5aa
85,2017-01-21 06:53:03.006705000,4.4,34.454,20765800518.022705,4.4,34.45384615384616,e09a92bc-caa3-43c9-b3d6-693f7b90e61b
86,2017-01-21 06:54:08.505444000,4.993,34.454,20820717421.706604,4.992307692307692,34.45384615384616,fcfc306d-69db-4144-81ad-79513525deef
87,2017-01-21 06:55:13.957399000,5.585,34.454,20900383871.489624,5.584615384615384,34.45384615384616,73260545-6063-4b29-b444-ffac1e1a94d5
88,2017-01-21 06:56:19.506412000,6.1770000000000005,34.454,20900153135.114197,6.176923076923077,34.45384615384616,193ed7b5-8a78-4ef8-b09c-14884fb2f594
89,2017-01-21 06:57:24.541032000,6.7700000000000005,34.454,20902380157.75946,6.769230769230769,34.45384615384616,0503702b-3151-498b-af95-f57c06c411b4
90,2017-01-21 06:58:29.854967000,7.362,34.454,20904193016.133484,7.361538461538461,34.45384615384616,b8df3852-2c63-43b7-8403-4a1f30286959
91,2017-01-21 06:59:35.710630000,7.954,34.454,20905881673.50067,7.953846153846154,34.45384615384616,9237c73e-ca01-417f-a71d-f553cbed7e3d
92,2017-01-21 07:00:41.623481000,8.546,34.454,20906846006.1875,8.546153846153846,34.45384615384616,0fa19679-afe3-4664-ac93-3e7f5c4e05c3
93,2017-01-21 07:01:47.306899000,9.139,34.454,20905578853.076843,9.138461538461538,34.45384615384616,0ba3b1f8-fb89-46b5-8d93-be7aab889ee3
94,2017-01-21 07:02:52.936721000,9.731,34.454,20907175560.74933,9.73076923076923,34.45384615384616,d8756de1-7ab2-4796-a69e-11460cc24e95
95,2017-01-21 07:03:58.961835000,10.323,34.454,20908059150.617737,10.323076923076922,34.45384615384616,e20b3199-b7f8-4779-a4e6-47f1af37a5b9
96,2017-01-21 07:05:04.467707000,10.916,34.454,20906972717.307373,10.915384615384614,34.45384615384616,09925529-4d05-47d1-a2e5-2c50788ada6b
97,2017-01-21 07:06:09.714977000,11.508000000000001,34.454,20852519812.832397,11.507692307692306,34.45384615384616,b821c53f-5063-4613-a4c5-917d6f5f032b
98,2017-01-21 07:07:15.346060000,12.1,34.454,20766668687.773865,12.1,34.45384615384616,52d62a48-9e30-4d22-8052-58ef0b43ae75
99,2017-01-21 07:08:25.543212000,12.1,35.046,20765765545.420776,12.1,35.04615384615384,e6ad1a59-3ae5-4bf9-b1be-fee910dc5ab4
100,2017-01-21 07:09:31.463766000,11.507,35.046,20848994909.759216,11.507692307692306,35.04615384615384,d55bf8e7-9e5a-4d09-80f6-1bbd9bad521d
101,2017-01-21 07:10:37.095315000,10.915000000000001,35.046,20905721611.190247,10.915384615384614,35.04615384615384,c60992c3-80a7-4f9c-b31e-32b5fac751cd
102,2017-01-21 07:11:42.349969000,10.323,35.046,20906333679.537354,10.323076923076922,35.04615384615384,fc78b8f9-575b-4992-80d8-86ac3ecd272b
103,2017-01-21 07:12:47.593097000,9.73,35.046,20905018524.39209,9.73076923076923,35.04615384615384,c5b8a63c-f0b1-4ff3-aae7-f2ab2dd8af80
104,2017-01-21 07:13:52.938734000,9.138,35.046,20902807535.498962,9.138461538461538,35.04615384615384,a3abd146-1b78-4340-9a3b-f4f2bd049e49
105,2017-01-21 07:14:58.520072000,8.546,35.046,20902501291.47473,8.546153846153846,35.04615384615384,e3dff52a-31bc-4cb5-9928-617412e352e7
106,2017-01-21 07:16:04.489847000,7.953,35.045,20903941209.012573,7.953846153846154,35.04615384615384,34da1cfa-ac86-4e0b-8209-e962573f9efc
107,2017-01-21 07:17:10.116673000,7.361,35.045,20902825988.52411,7.361538461538461,35.04615384615384,5c1c1212-c426-4fcb-a58b-7528ff56da10
108,2017-01-21 07:18:16.047081000,6.769,35.045,20900692619.15576,6.769230769230769,35.04615384615384,26dfd70c-24f1-4fc2-86c8-d719be70e626
109,2017-01-21 07:19:21.694785000,6.176,35.045,20901864141.847046,6.176923076923077,35.04615384615384,bbcd1057-30db-4988-bf03-bf00c2ded1ec
110,2017-01-21 07:20:27.524267000,5.5840000000000005,35.045,20901168578.006287,5.584615384615384,35.04615384615384,41edb9fb-b099-4f0f-b14a-2709a5bdb9a1
111,2017-01-21 07:21:33.098762000,4.992,35.045,20813819455.70331,4.992307692307692,35.04615384615384,281bc6fe-dc5b-40e8-9808-aadca6cdd8dc
112,2017-01-21 07:22:38.345172000,4.4,35.045,20766493873.52704,4.4,35.04615384615384,ef601514-6023-4ca5-9c11-624ca65e51d1
113,2017-01-21 07:23:48.444093000,4.4,35.639,20766014558.732788,4.4,35.63846153846154,a0148d16-28ca-475e-816c-c59fa0333f99
114,2017-01-21 07:24:53.823028000,4.993,35.639,20813994396.002075,4.992307692307692,35.63846153846154,06a4cc76-8b0b-4f2e-96be-be041eb65e44
115,2017-01-21 07:25:59.573487000,5.585,35.639,20902327414.549744,5.584615384615384,35.63846153846154,f0ef73b0-b4b7-49db-9f3b-3c48db506605
116,2017-01-21 07:27:05.050287000,6.1770000000000005,35.639,20904513413.679565,6.176923076923077,35.63846153846154,d9edaf16-db18-4793-9a16-87f2b12d27c7
117,2017-01-21 07:28:10.500704000,6.7700000000000005,35.639,20904618808.816284,6.769230769230769,35.63846153846154,e2a7a6fb-28bf-4f3b-89ec-6cb4b7e443cb
118,2017-01-21 07:29:16.175596000,7.362,35.639,20904798813.85724,7.361538461538461,35.63846153846154,d8feb9c3-ddcd-4010-8583-1df465cc584d
119,2017-01-21 07:30:22.323685000,7.954,35.639,20907777887.552795,7.953846153846154,35.63846153846154,48900060-722c-479d-8dbb-48472204fa80
120,2017-01-21 07:31:28.089950000,8.546,35.639,20906091136.35193,8.546153846153846,35.63846153846154,2bf6c889-5a94-4edb-9c26-141f12a78f0a
121,2017-01-21 07:32:33.812037000,9.139,35.639,20905056904.35785,9.138461538461538,35.63846153846154,d951006d-412a-4c2e-baa0-423f7ca858ba
122,2017-01-21 07:33:39.510785999,9.731,35.639,20905696225.331238,9.73076923076923,35.63846153846154,1a8fa96d-5c98-43c8-ad53-f59c1e141666
123,2017-01-21 07:34:45.618332000,10.323,35.639,20904445659.847473,10.323076923076922,35.63846153846154,2d80cf17-d5a7-42cd-a0b2-a8ba61f7812c
124,2017-01-21 07:35:51.266196000,10.916,35.639,20906065659.47711,10.915384615384614,35.63846153846154,5333b36e-6b80-4600-9c92-60bc86e0e599
125,2017-01-21 07:36:57.229150000,11.508000000000001,35.639,20856208462.26245,11.507692307692306,35.63846153846154,4d1fc509-8b01-4309-93fb-28cbbea3c8e3
126,2017-01-21 07:38:02.579891000,12.1,35.639,20766985720.248596,12.1,35.63846153846154,78ad3895-a666-4ad1-a8dd-fc0d408f3766
127,2017-01-21 07:39:12.952271000,12.1,36.231,20765985763.6756,12.1,36.23076923076923,7e7bfe3a-b534-4925-971a-8ed93e5b02a7
128,2017-01-21 07:40:18.428713000,11.507,36.231,20857476587.15216,11.507692307692306,36.23076923076923,d9c375ae-7526-411f-881a-21574374348a
129,2017-01-21 07:41:24.063247000,10.915000000000001,36.231,20908854177.0307,10.915384615384614,36.23076923076923,3576d439-1b5d-446c-a661-eb96c7d384a5
130,2017-01-21 07:42:30.071586000,10.323,36.231,20908439850.201904,10.323076923076922,36.23076923076923,dccd9f46-2cac-46bc-8466-5acd57dbedd9
131,2017-01-21 07:43:35.504872000,9.73,36.231,20909448893.59027,9.73076923076923,36.23076923076923,560aa493-5b63-46d0-8e0f-5e3b8a20e306
132,2017-01-21 07:44:41.461680000,9.138,36.230000000000004,20908857099.959473,9.138461538461538,36.23076923076923,f91a4dd4-79bd-41ed-8f88-db09138ba319
133,2017-01-21 07:45:47.219606000,8.546,36.230000000000004,20906003658.712402,8.546153846153846,36.23076923076923,98e323c6-a87f-40bd-ab20-98e0490dafe0
134,2017-01-21 07:46:52.895352000,7.953,36.230000000000004,20908431844.409058,7.953846153846154,36.23076923076923,e6e9823e-807c-45d9-a0ad-19092ae733d1
